gene,log2FoldChange
hokA,2.152336264909049
glyS,-1.820618436548756
glyQ,-1.5405468201811918
bax,1.129594625328819
avtA,-2.314848585102925
ysaA,-1.3983396330287208
selB,-1.6037297918423181
selA,-1.5541832726314615
yibL,-1.2454928501571798
gpsA,-2.0021852035402543
secB,-1.6658958712011256
grxC,-1.5079349606184032
waaH,2.572214285283412
rfaD,-1.1121995769153696
yicR,-1.4669670286375807
pyrE,1.4541998637593778
rpoZ,1.2779852470348625
gltS,1.7683985803116842
selC,2.0640346509741794
nlpA,-1.4342963430963784
ilvN,-3.328627458760056
ilvB,-2.906621916958858
ivbL,-2.1229986844128983
emrD,1.7943036801176255
ibpA,1.4161558649635904
yidA,-1.4154577250677352
rnpA,-1.6070967685924333
yidD,-1.8068005048724947
yidC,-1.7322765489464367
phoU,2.032132412845453
pstB,2.0244641347445085
pstA,2.8967104161792983
pstC,3.521409141993671
pstS,4.477318894965903
glmS,-1.4082131120597694
glmU,-1.5344361985435593
atpC,-1.3165583162585526
atpD,-1.3608844410745826
atpI,1.2287666958460821
asnA,-3.5770148326685716
ravA,-2.0292000498486327
rbsD,-3.3373699085384323
rbsA,-3.310230632776359
rbsC,-2.7108842276655567
rbsB,-2.2152272219702875
rbsK,-1.738973498749032
yieP,-1.9689927613201506
gltU,2.8908726714775828
aspT,1.6643967716824777
trpT,1.8692460398130208
ilvX,-2.052286294910059
ilvE,-2.4255400308403483
ilvD,-1.983264668991782
gpp,-1.1161377352642616
rhlB,-1.326949574723572
rho,-1.6224854335101118
wecB,-1.4551301762805349
wecC,-2.059280392553324
rffG,-2.2920220965096156
rffH,-1.847943948376812
rffC,-1.8942218713152252
wecE,-1.6244467914055607
wzyE,-1.6885429327174497
yifK,-1.6793260475932987
leuT,1.7769704798337875
hemC,-1.2559378894208162
dapF,-1.221693547367244
yigA,-1.356500435292006
xerC,-1.2031926872908942
yigB,-1.4865642190214112
ysgD,1.8071278723543707
corA,2.1549487217783354
yigF,2.222226473566753
metE,-4.783684989366482
udp,-1.5929494347308701
tatD,1.7572244297993704
pepQ,-1.533088870866433
ileT,3.6255494517928892
alaT,4.235947628821729
csrC,3.055452496355706
glnG,-2.859880032240168
glnL,-3.8801484072477646
glnA,-5.029772262159769
fdhE,-1.2695964446696413
sodA,-1.3755305698193887
tpiA,-1.6626700249455766
glpX,-1.316161772593292
glpK,-2.5899051312810975
glpF,-2.309353422369575
cytR,-1.2114387578122752
rpmE,-1.3843659473763081
katG,-1.8578516793888877
gldA,-2.579920898843262
eptC,-1.7183882477964643
ppc,-2.3533640763318027
fabR,3.0897999182798763
yijD,2.272139154565208
btuB,-2.1142721228424715
gltT,2.8908726714775828
thrU,2.5356665990238025
rplK,-1.2262804794023314
rplA,-1.1550856392361666
rplJ,-1.6243847942671423
rplL,-1.4348432433555336
rpoB,-1.6022162907804018
rpoC,-1.7473600400047689
sroH,-1.3474827209780254
thiH,-1.331216747714789
thiG,-1.1297175222368996
thiS,-1.0974909562064132
thiF,-1.1574571731258692
hupA,-1.4740155955879344
zraR,2.4520218553647326
purD,-2.2766166877751743
